Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D24;1.031989;-1.531262;-1.267119;-0.815114;-0.304652;-0.653683;-3.285810;-1.743120;-0.548232
D33;1.060878;-1.533952;-1.247353;-0.838388;-0.285354;-0.588186;-3.297974;-1.801833;-0.521682
D51;1.076941;-1.712915;-1.321696;-0.937180;-0.287202;-0.606807;-3.307213;-1.899346;-0.666245
D99;1.129188;-1.760982;-1.373943;-0.965916;-0.266826;-0.621436;-3.314528;-1.984508;-0.744092
D28;1.152114;-1.820982;-1.366626;-0.969005;-0.261135;-0.650054;-3.301195;-1.925321;-0.758726
D97;1.153358;-1.819143;-1.366788;-0.968032;-0.261405;-0.652055;-3.301032;-2.023688;-0.759429
D54;1.157687;-1.810485;-1.364623;-0.961538;-0.257076;-0.656384;-3.298868;-2.049662;-0.757265
D4;1.188798;-1.817152;-1.353512;-1.001538;-0.263743;-0.618606;-3.338868;-2.002995;-0.748376
D76;1.190650;-1.815300;-1.375734;-0.995983;-0.256335;-0.609347;-3.329609;-2.123365;-0.740969
D3;1.190650;-1.853395;-1.450020;-1.037887;-0.271573;-0.649347;-3.358180;-2.243365;-0.750492
D87;1.200884;-1.885559;-1.439786;-1.043735;-0.278883;-0.680048;-3.388882;-2.303307;-0.753416
D21;1.197201;-1.929758;-1.485827;-1.069518;-0.286250;-0.707673;-3.766414;-2.294099;-0.759862
D81;1.193703;-1.947596;-1.495271;-1.086657;-0.294994;-0.727260;-3.782154;-2.466187;-0.758463
D58;1.211298;-2.068146;-1.529085;-1.126520;-0.290183;-0.747878;-3.849370;-2.669211;-0.758875
D19;1.213594;-2.063701;-1.532566;-1.126297;-0.289146;-0.750545;-3.849000;-2.750544;-0.758875
D15;1.213594;-2.054109;-1.530168;-1.128695;-0.296340;-0.762535;-3.844204;-2.779321;-0.763672
D18;1.223594;-2.097442;-1.540168;-1.108695;-0.309674;-0.772535;-3.844204;-2.859321;-0.790338
D11;1.248956;-2.216283;-1.641376;-1.248067;-0.289142;-0.801521;-3.925363;-3.002075;-0.835024
D45;1.248956;-2.216283;-1.641376;-1.248067;-0.289142;-0.801521;-3.925363;-3.011446;-0.835024
D71;1.268956;-2.349616;-1.581376;-1.328067;-0.362476;-0.881521;-4.085363;-3.158112;-0.755024
D7;1.318956;-2.332950;-1.581376;-1.394734;-0.295809;-0.831521;-3.952030;-3.241446;-0.738357
D8;1.310438;-2.331468;-1.576191;-1.405475;-0.308402;-0.839669;-3.956474;-3.339964;-0.747246
D85;1.325513;-2.408185;-1.576861;-1.499612;-0.324147;-0.831294;-4.017446;-3.563415;-0.769022
