Title;ASCENSION;Diffusion-TS;FAA;ImagenTime;KoVAE;LA;TTSGAN;Time-DDPM;VaDE
D57;1.074584;-4.765143;-3.596887;-2.611925;-25.581226;-1.165107;-3.552226;-5.255013;-0.910786
D2;1.158983;-5.086315;-3.553409;-2.785838;-26.215497;-1.188125;-3.493402;-5.39553;-1.13585
D74;1.182944;-5.09064;-3.553409;-2.812196;-26.435145;-1.189723;-3.484616;-5.748896;-1.144635
D87;1.199611;-5.074867;-3.581186;-2.80664;-26.846256;-1.206389;-3.46795;-5.839423;-1.133524
BME;1.232944;-5.192303;-3.601186;-2.92664;-26.966256;-1.153056;-3.481283;-6.202292;-1.153524
D78;1.199887;-5.322718;-3.679699;-3.013417;-27.540637;-1.256362;-3.535002;-6.311019;-1.203111
D113;1.232137;-5.273404;-3.657449;-2.986917;-27.789387;-1.272362;-3.524002;-6.247249;-1.165611
D34;1.648137;-5.323942;-3.701449;-2.946917;-27.931387;-1.308362;-3.568002;-6.31982;-1.033611
D101;1.648137;-5.323942;-3.734782;-3.00025;-27.931387;-1.328362;-3.568002;-6.31982;-1.046944
D66;1.648137;-5.412641;-4.318115;-3.016917;-28.531387;-1.378362;-3.618002;-6.494165;-1.046944
D107;1.694368;-5.65233;-4.253794;-3.193801;-29.036914;-1.347206;-3.664233;-6.968524;-1.105236
